id;start_date;end_date;language
1;2020-01-01T09:52:10;2020-01-01T07:42:25;SPANISH
2;2019-12-31T14:42:21;2020-01-01T09:46:46;SPANISH
3;2020-01-01T05:37:40;2019-12-31T16:11:49;FRENCH
4;2019-12-31T20:55:11;2020-01-01T08:26:37;FRENCH
5;2020-01-01T06:25:29;2020-01-01T11:12:28;FRENCH
6;2020-01-01T00:17:50;2020-01-01T12:26:04;FRENCH
7;2020-01-01T02:03:10;2019-12-31T19:54:01;FRENCH
8;2020-01-01T00:59:23;2020-01-01T11:15:31;SPANISH
9;2019-12-31T23:40:32;2019-12-31T20:21:55;SPANISH
10;2020-01-01T07:52:36;2019-12-31T18:27:06;SPANISH
